name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-8416,YES,1874,312,1562,4.999,2.3,1.7e-06,8.1e-03,3e-04,0,308,284,344,1679,1627,1380
GENE-10541,YES,839.7,26.3,813.3,30.692,4.9,1.8e-06,8.2e-03,3e-04,0,29,20,30,1145,672,623
GENE-5666,YES,3905.3,392.7,3512.7,8.941,3.2,1.8e-06,8.6e-03,3e-04,0,341,417,420,4475,3100,2963
GENE-12550,YES,2172.3,158,2014.3,12.718,3.7,2.2e-06,1.0e-02,3e-04,0,195,139,140,1783,2605,1655
GENE-16711,YES,1819,324.3,1494.7,4.607,2.2,2.3e-06,1.0e-02,3e-04,0,327,301,345,1361,1425,1698
GENE-10481,YES,38.3,2.3,36,14.627,3.9,2.5e-06,1.2e-02,4e-04,0,2,3,2,36,35,37
GENE-5084,YES,488.7,53.7,435,8.077,3,2.8e-06,1.3e-02,4e-04,0,69,47,45,464,385,456
GENE-10219,YES,251.7,24.7,227,9.149,3.2,2.8e-06,1.3e-02,4e-04,0,30,18,26,248,240,193
GENE-8681,YES,950.3,793.7,156.7,0.198,-2.3,2.9e-06,1.4e-02,4e-04,0,675,840,866,146,152,172
GENE-16306,YES,80.3,4.7,75.7,15.744,4,3.3e-06,1.5e-02,4e-04,0,4,3,7,78,78,71
GENE-1857,YES,3826,3598.3,227.7,0.063,-4,4.1e-06,1.9e-02,5e-04,0,3089,4463,3243,274,146,263
GENE-10389,YES,86.3,5,81.3,15.82,4,4.7e-06,2.1e-02,6e-04,0,5,4,6,106,65,73
GENE-14689,YES,148,7,141,19.798,4.3,5.1e-06,2.4e-02,6e-04,0,3,9,9,124,142,157
GENE-13388,YES,85,82,3,0.038,-4.7,5.4e-06,2.5e-02,6e-04,0,60,109,77,4,3,2
GENE-10360,YES,164,155,9,0.059,-4.1,5.6e-06,2.6e-02,6e-04,0,156,160,149,4,12,11
GENE-5065,YES,296,70,226,3.235,1.7,6.7e-06,3.1e-02,7e-04,0,70,67,73,228,217,233
GENE-2478,YES,658.7,146,512.7,3.509,1.8,6.8e-06,3.2e-02,7e-04,0,155,130,153,536,487,515
GENE-2605,YES,1152.3,156.3,996,6.364,2.7,8.3e-06,3.8e-02,9e-04,0,152,179,138,904,1277,807
GENE-19037,YES,137,116.3,20.7,0.178,-2.5,8.5e-06,3.9e-02,9e-04,0,128,108,113,26,19,17
GENE-13605,YES,66,0.3,65.7,142.93,7.2,8.7e-06,4.0e-02,9e-04,0,0,1,0,49,88,60
GENE-432,YES,496,66,430,6.49,2.7,9.1e-06,4.2e-02,9e-04,0,74,51,73,337,459,494
GENE-12774,YES,131.3,111.3,20,0.18,-2.5,1.0e-05,4.7e-02,0.001,0,93,121,120,17,24,19
GENE-11832,YES,148.7,120.7,28,0.232,-2.1,1.1e-05,5.0e-02,0.001,0,122,124,116,25,25,34
GENE-10337,YES,65.7,63,2.7,0.044,-4.5,1.2e-05,5.3e-02,0.0011,0,57,88,44,3,2,3
GENE-5106,YES,13507.3,11387.3,2120,0.186,-2.4,1.2e-05,5.6e-02,0.0011,0,9685,13725,10752,2375,1616,2369
GENE-175,YES,301.3,48.7,252.7,5.167,2.4,1.2e-05,5.7e-02,0.0011,0,37,53,56,286,222,250
GENE-1079,YES,148,135,13,0.097,-3.4,1.2e-05,5.8e-02,0.0011,0,142,124,139,14,7,18
GENE-18560,YES,236.3,194.7,41.7,0.214,-2.2,1.4e-05,6.2e-02,0.0012,0,173,209,202,41,51,33
GENE-14219,YES,1136,254.7,881.3,3.46,1.8,1.6e-05,7.3e-02,0.0013,0,242,224,298,957,830,857
GENE-12735,YES,170,152,18,0.119,-3.1,1.7e-05,7.7e-02,0.0014,0,151,119,186,15,25,14
GENE-9612,YES,61.7,9.7,52,5.298,2.4,2.0e-05,9.3e-02,0.0017,0,8,9,12,48,57,51
GENE-3951,YES,7389.3,1208.3,6181,5.115,2.4,2.2e-05,1.0e-01,0.0017,0,1235,1538,852,6502,6438,5603
GENE-11531,YES,97.7,1.7,96,53.456,5.7,2.5e-05,1.1e-01,0.002,0,2,0,3,72,82,134
GENE-6618,YES,4009.3,952,3057.3,3.211,1.7,2.8e-05,1.3e-01,0.0022,0,946,1095,815,3446,2643,3083
GENE-7269,YES,653,543.7,109.3,0.201,-2.3,2.9e-05,1.3e-01,0.0022,0,541,399,691,119,114,95
GENE-18640,YES,2848.3,2432,416.3,0.171,-2.5,3.3e-05,1.5e-01,0.0025,0,1988,3044,2264,294,437,518
GENE-511,YES,300,56.3,243.7,4.311,2.1,3.9e-05,1.8e-01,0.0029,0,58,57,54,258,175,298
GENE-19813,YES,93.7,82,11.7,0.143,-2.8,4.2e-05,2.0e-01,0.0031,0,88,56,102,13,9,13
GENE-3882,YES,376.7,111.3,265.3,2.377,1.2,4.9e-05,2.3e-01,0.0035,0,119,112,103,264,263,269
GENE-5484,YES,523,125.7,397.3,3.151,1.7,5.0e-05,2.3e-01,0.0035,0,111,148,118,452,347,393
GENE-17951,YES,7864,6299.3,1564.7,0.248,-2,5.2e-05,2.4e-01,0.0036,0,6576,6820,5502,2073,1393,1228
GENE-18372,YES,352,271,81,0.298,-1.7,5.3e-05,2.4e-01,0.0036,0,312,259,242,86,65,92
GENE-8524,YES,576.3,43.3,533,12.242,3.6,6.2e-05,2.8e-01,0.0042,0,49,29,52,293,774,532
GENE-11530,YES,9102.3,1864,7238.3,3.883,2,6.9e-05,3.2e-01,0.0046,0,1759,1945,1888,6595,9733,5387
GENE-1444,YES,199,149.7,49.3,0.329,-1.6,7.3e-05,3.4e-01,0.0048,0,124,175,150,54,44,50
GENE-12696,YES,52.7,43.7,9,0.207,-2.3,7.5e-05,3.5e-01,0.0049,0,46,32,53,9,9,9
GENE-6168,YES,35.7,30,5.7,0.191,-2.4,7.7e-05,3.6e-01,0.0049,0,26,34,30,6,4,7
GENE-14740,YES,89,13.7,75.3,5.445,2.4,8.1e-05,3.7e-01,0.0051,0,13,17,11,94,54,78
GENE-7455,YES,430.3,359,71.3,0.199,-2.3,8.8e-05,4.0e-01,0.0055,0,460,297,320,54,64,96
GENE-11996,YES,70.3,15.3,55,3.549,1.8,8.9e-05,4.1e-01,0.0055,0,12,16,18,52,53,60
GENE-15262,YES,295.3,209.3,86,0.411,-1.3,1.1e-04,4.9e-01,0.0065,1,202,208,218,73,88,97
GENE-19958,YES,66.7,58,8.7,0.151,-2.7,1.2e-04,5.7e-01,0.0073,1,58,50,66,4,10,12
GENE-7834,YES,569,459.3,109.7,0.239,-2.1,1.2e-04,5.7e-01,0.0073,1,542,353,483,99,85,145
GENE-5480,NO,978,707.7,270.3,0.382,-1.4,1.3e-04,5.8e-01,0.0074,1,610,655,858,249,282,280
GENE-8443,YES,348.3,309.3,39,0.126,-3,1.3e-04,5.9e-01,0.0074,1,170,324,434,29,39,49
GENE-10485,YES,3729.3,2864.3,865,0.302,-1.7,1.4e-04,6.2e-01,0.0077,1,2668,2342,3583,745,1075,775
GENE-2199,YES,1316,947.7,368.3,0.389,-1.4,1.5e-04,7.0e-01,0.0086,1,766,1080,997,345,413,347
GENE-16120,YES,104.7,27.3,77.3,2.808,1.5,1.6e-04,7.2e-01,0.0087,1,27,25,30,67,91,74
GENE-16909,YES,392.7,278.3,114.3,0.412,-1.3,1.6e-04,7.5e-01,0.0089,1,237,299,299,126,101,116
GENE-3418,YES,30.3,4,26.3,6.382,2.7,1.8e-04,8.1e-01,0.0096,1,2,6,4,22,29,28
GENE-2098,YES,3460.3,2243,1217.3,0.543,-0.9,1.8e-04,8.2e-01,0.0096,1,2220,2286,2223,1296,1202,1154
GENE-4768,YES,686,523,163,0.312,-1.7,2.0e-04,9.0e-01,0.0104,1,390,516,663,165,184,140
GENE-1974,YES,464.3,129.7,334.7,2.581,1.4,2.0e-04,9.2e-01,0.0105,1,126,115,148,403,309,292
GENE-19850,YES,183.7,53,130.7,2.457,1.3,2.1e-04,9.6e-01,0.0107,1,58,50,51,155,124,113
GENE-15463,YES,2229.7,371.7,1858,4.996,2.3,2.1e-04,9.6e-01,0.0107,1,568,253,294,1869,2094,1611
GENE-1927,YES,103.7,21.7,82,3.749,1.9,2.1e-04,9.6e-01,0.0107,1,20,30,15,76,85,85
GENE-16914,YES,364,107,257,2.397,1.3,2.1e-04,9.7e-01,0.0107,1,118,86,117,241,260,270
GENE-16013,YES,108.3,31.3,77,2.441,1.3,2.2e-04,1.0e+00,0.0109,1,30,29,35,72,73,86
GENE-4589,YES,1088.3,767.3,321,0.419,-1.3,2.2e-04,1.0e+00,0.0109,1,811,812,679,283,384,296
GENE-7818,YES,530,371.3,158.7,0.428,-1.2,2.2e-04,1.0e+00,0.0109,1,335,410,369,178,165,133
GENE-1478,YES,1631.7,250.3,1381.3,5.516,2.5,2.3e-04,1.0e+00,0.0113,1,215,226,310,1239,841,2064
GENE-10192,YES,91.3,72.3,19,0.264,-1.9,2.5e-04,1.0e+00,0.0121,1,68,92,57,23,20,14
GENE-11893,NO,5257.7,1348.3,3909.3,2.899,1.5,2.6e-04,1.0e+00,0.0124,1,1568,941,1536,3832,4371,3525
GENE-5823,YES,5500,1741.3,3758.7,2.158,1.1,2.7e-04,1.0e+00,0.0124,1,1596,1669,1959,3876,3164,4236
GENE-17694,YES,58,49.3,8.7,0.177,-2.5,2.7e-04,1.0e+00,0.0125,1,68,29,51,9,9,8
GENE-8507,YES,384,293.3,90.7,0.308,-1.7,2.7e-04,1.0e+00,0.0126,1,332,215,333,85,113,74
GENE-16161,YES,761,133.3,627.7,4.7,2.2,2.8e-04,1.0e+00,0.0126,1,103,142,155,716,366,801
GENE-9920,YES,17.3,1,16.3,14.563,3.9,2.8e-04,1.0e+00,0.0127,1,0,1,2,19,13,17
GENE-9883,YES,67,14.3,52.7,3.631,1.9,2.9e-04,1.0e+00,0.0127,1,11,20,12,59,51,48
GENE-16557,YES,46.3,8,38.3,4.709,2.2,2.9e-04,1.0e+00,0.0128,1,4,9,11,36,41,38
GENE-13471,NO,1793.7,602.7,1191,1.977,1,3.2e-04,1.0e+00,0.0139,1,671,610,527,1191,1259,1123
GENE-12171,YES,97.7,26.3,71.3,2.688,1.4,3.7e-04,1.0e+00,0.016,2,26,26,27,90,62,62
GENE-164,YES,133014.3,94672,38342.3,0.405,-1.3,3.8e-04,1.0e+00,0.0163,2,93858,85625,104533,38461,28929,47637
GENE-2193,YES,48.7,42.7,6,0.143,-2.8,4.0e-04,1.0e+00,0.0171,2,42,42,44,5,2,11
GENE-19839,YES,797.3,535.3,262,0.49,-1,4.5e-04,1.0e+00,0.0189,2,564,446,596,251,261,274
GENE-19568,YES,120.3,28.3,92,3.219,1.7,4.5e-04,1.0e+00,0.0189,2,24,30,31,108,106,62
GENE-14774,YES,2719.7,1865,854.7,0.458,-1.1,4.9e-04,1.0e+00,0.0201,2,2005,1493,2097,961,751,852
GENE-9381,YES,134.7,37.3,97.3,2.591,1.4,5.3e-04,1.0e+00,0.0215,2,43,26,43,93,102,97
GENE-18432,YES,382.7,271.7,111,0.408,-1.3,5.4e-04,1.0e+00,0.0219,3,322,291,202,100,121,112
GENE-9522,YES,2524.7,1815,709.7,0.391,-1.4,5.8e-04,1.0e+00,0.0233,3,1933,1532,1980,531,905,693
GENE-5401,YES,5741,1724.7,4016.3,2.328,1.2,5.9e-04,1.0e+00,0.0234,3,1758,1468,1948,4947,3942,3160
GENE-11561,YES,25.3,20.7,4.7,0.229,-2.1,6.4e-04,1.0e+00,0.0254,3,17,18,27,6,5,3
GENE-1361,YES,315.3,245.7,69.7,0.283,-1.8,7.1e-04,1.0e+00,0.0277,3,195,362,180,67,59,83
GENE-2919,YES,2017.7,1388.3,629.3,0.453,-1.1,7.4e-04,1.0e+00,0.0287,3,1139,1422,1604,521,623,744
GENE-6915,YES,88.7,24.3,64.3,2.621,1.4,7.7e-04,1.0e+00,0.0298,4,17,28,28,70,62,61
GENE-6484,YES,316,108.3,207.7,1.914,0.9,8.4e-04,1.0e+00,0.0321,4,122,97,106,222,182,219
GENE-17851,YES,49,1,48,42.554,5.4,9.0e-04,1.0e+00,0.0343,4,2,1,0,67,65,12
GENE-3603,YES,491.7,183.3,308.3,1.68,0.7,9.7e-04,1.0e+00,0.0365,5,183,177,190,325,292,308
GENE-1808,YES,944.7,350,594.7,1.698,0.8,1.1e-03,1.0e+00,0.0407,5,337,360,353,618,631,535
GENE-6620,NO,3017.3,747.3,2270,3.037,1.6,1.1e-03,1.0e+00,0.0412,5,780,574,888,2064,3189,1557
GENE-13176,YES,96.7,64.3,32.3,0.504,-1,1.1e-03,1.0e+00,0.0412,5,58,73,62,31,35,31
GENE-618,YES,24,20,4,0.204,-2.3,1.1e-03,1.0e+00,0.0413,5,13,23,24,5,2,5
GENE-16560,YES,225.7,62.3,163.3,2.628,1.4,1.2e-03,1.0e+00,0.0423,5,60,82,45,149,201,140
GENE-3981,YES,3277.3,2212.3,1065,0.481,-1.1,1.2e-03,1.0e+00,0.0445,6,2504,1958,2175,837,1043,1315
GENE-10331,NO,89.7,72.7,17,0.234,-2.1,1.3e-03,1.0e+00,0.0448,6,63,54,101,18,9,24
GENE-9631,YES,251.7,184,67.7,0.368,-1.4,1.4e-03,1.0e+00,0.0482,6,192,185,175,86,77,40
GENE-549,YES,119.7,28,91.7,3.246,1.7,1.4e-03,1.0e+00,0.0482,6,16,37,31,89,74,112
GENE-18285,NO,890,314.3,575.7,1.829,0.9,1.4e-03,1.0e+00,0.0482,6,365,291,287,509,599,619
GENE-17647,YES,857,593.7,263.3,0.444,-1.2,1.4e-03,1.0e+00,0.0487,7,423,675,683,301,250,239
GENE-7227,YES,108.7,35.7,73,2.033,1,1.4e-03,1.0e+00,0.0488,7,35,30,42,77,78,64
GENE-5028,YES,1362.7,896.3,466.3,0.52,-0.9,1.4e-03,1.0e+00,0.0488,7,1008,896,785,377,511,511
GENE-15084,YES,93.3,30.3,63,2.064,1,1.5e-03,1.0e+00,0.0504,7,36,29,26,60,58,71
GENE-6458,NO,596.3,215.7,380.7,1.767,0.8,1.5e-03,1.0e+00,0.0506,7,240,216,191,412,340,390
GENE-478,YES,553.3,111,442.3,3.997,2,1.7e-03,1.0e+00,0.0551,8,75,71,187,524,409,394
GENE-9744,YES,25.3,19.3,6,0.313,-1.7,1.7e-03,1.0e+00,0.0562,8,18,16,24,4,8,6
GENE-19056,YES,1656.7,1095,561.7,0.513,-1,1.7e-03,1.0e+00,0.0563,8,1083,1254,948,460,673,552
GENE-2708,YES,32.3,8.3,24,2.84,1.5,1.8e-03,1.0e+00,0.059,8,10,6,9,28,18,26
GENE-9692,YES,274.7,78.3,196.3,2.512,1.3,1.8e-03,1.0e+00,0.059,8,95,87,53,239,153,197
GENE-4332,NO,58,39.7,18.3,0.461,-1.1,2.0e-03,1.0e+00,0.0628,9,31,42,46,19,18,18
GENE-1690,YES,24.3,4.3,20,4.491,2.2,2.0e-03,1.0e+00,0.0637,9,2,8,3,18,19,23
GENE-406,YES,2301,900.7,1400.3,1.555,0.6,2.1e-03,1.0e+00,0.066,10,909,873,920,1254,1456,1491
GENE-16476,NO,434.7,332.3,102.3,0.308,-1.7,2.3e-03,1.0e+00,0.0725,11,369,334,294,56,158,93
GENE-8016,YES,70.3,22,48.3,2.179,1.1,2.3e-03,1.0e+00,0.0725,11,20,28,18,55,45,45
GENE-13446,NO,3807.3,671.7,3135.7,4.669,2.2,2.4e-03,1.0e+00,0.0735,11,627,348,1040,3770,1705,3932
GENE-17455,YES,43,30.7,12.3,0.403,-1.3,2.4e-03,1.0e+00,0.074,11,32,23,37,15,10,12
GENE-16420,NO,949,338.3,610.7,1.804,0.9,2.4e-03,1.0e+00,0.0742,11,275,404,336,659,578,595
GENE-19312,YES,4172.3,1400,2772.3,1.98,1,2.4e-03,1.0e+00,0.0742,11,1300,1443,1457,2888,3435,1994
GENE-16413,YES,363,277.3,85.7,0.308,-1.7,2.6e-03,1.0e+00,0.0788,12,227,212,393,52,119,86
GENE-10515,NO,135.7,132.7,3,0.023,-5.4,2.9e-03,1.0e+00,0.0878,14,106,262,30,9,0,0
GENE-11527,NO,20,15,5,0.337,-1.6,3.0e-03,1.0e+00,0.0893,14,13,12,20,6,4,5
GENE-5187,YES,79.7,51.7,28,0.544,-0.9,3.0e-03,1.0e+00,0.0899,14,46,60,49,28,30,26
GENE-12132,NO,140.3,48,92.3,1.913,0.9,3.0e-03,1.0e+00,0.0899,14,57,49,38,106,81,90
GENE-106,YES,6858.7,4015.7,2843,0.708,-0.5,3.1e-03,1.0e+00,0.0902,14,4047,3975,4025,2913,2794,2822
GENE-16515,YES,411,262,149,0.569,-0.8,3.1e-03,1.0e+00,0.0902,14,244,256,286,161,119,167
GENE-14431,NO,313,218.3,94.7,0.433,-1.2,3.1e-03,1.0e+00,0.0902,15,153,267,235,70,110,104
GENE-12250,YES,30.3,5.7,24.7,4.257,2.1,3.1e-03,1.0e+00,0.0902,15,3,10,4,34,19,21
GENE-1078,NO,28.7,4,24.7,5.99,2.6,3.2e-03,1.0e+00,0.0902,15,7,1,4,15,22,37
GENE-19233,NO,258,98,160,1.632,0.7,3.4e-03,1.0e+00,0.0969,16,103,83,108,154,167,159
GENE-5226,YES,1808.7,1129.3,679.3,0.602,-0.7,3.5e-03,1.0e+00,0.1,17,1099,1220,1069,697,784,557
GENE-3517,NO,146,94,52,0.553,-0.9,3.6e-03,1.0e+00,0.1013,17,91,114,77,48,56,52
GENE-1220,NO,3334.3,2805.3,529,0.189,-2.4,3.8e-03,1.0e+00,0.1052,18,3164,3779,1473,428,237,922
GENE-18332,NO,654,427.7,226.3,0.53,-0.9,3.8e-03,1.0e+00,0.1056,18,408,377,498,189,287,203
GENE-14071,NO,16.7,4.3,12.3,2.781,1.5,3.9e-03,1.0e+00,0.1064,18,3,4,6,12,14,11
GENE-16001,YES,281.7,26.3,255.3,9.642,3.3,3.9e-03,1.0e+00,0.1081,18,28,14,37,523,172,71
GENE-14630,NO,56.7,17.7,39,2.187,1.1,4.0e-03,1.0e+00,0.1094,19,14,24,15,43,39,35
GENE-1044,NO,275.7,175.7,100,0.569,-0.8,4.0e-03,1.0e+00,0.1094,19,185,190,152,111,110,79
GENE-11910,YES,270.7,58,212.7,3.657,1.9,4.2e-03,1.0e+00,0.1142,20,64,29,81,325,157,156
GENE-3640,NO,357,135.3,221.7,1.639,0.7,4.3e-03,1.0e+00,0.1162,20,140,122,144,246,185,234
GENE-16690,NO,208.7,69.7,139,1.997,1,4.4e-03,1.0e+00,0.1166,20,56,79,74,116,180,121
GENE-1790,NO,47.3,15.7,31.7,2.005,1,4.6e-03,1.0e+00,0.1211,21,20,15,12,33,32,30
GENE-374,YES,103.3,69,34.3,0.499,-1,4.6e-03,1.0e+00,0.1225,22,79,80,48,36,35,32
GENE-9002,NO,565.3,380,185.3,0.488,-1,4.7e-03,1.0e+00,0.123,22,387,380,373,171,255,130
GENE-18161,NO,252,54,198,3.665,1.9,4.8e-03,1.0e+00,0.1256,22,90,41,31,174,132,288
GENE-9876,NO,16.7,4,12.7,3.087,1.6,4.8e-03,1.0e+00,0.1256,23,5,5,2,15,10,13
GENE-3643,NO,27.3,8.3,19,2.252,1.2,5.2e-03,1.0e+00,0.1338,24,11,6,8,19,17,21
GENE-14250,NO,3602.7,1233,2369.7,1.922,0.9,5.3e-03,1.0e+00,0.1347,25,1465,965,1269,1852,2257,3000
GENE-13220,YES,27.3,6,21.3,3.486,1.8,5.7e-03,1.0e+00,0.1455,27,7,9,2,26,22,16
GENE-14567,YES,118,44.3,73.7,1.651,0.7,5.9e-03,1.0e+00,0.1492,27,43,50,40,79,78,64
GENE-19185,YES,719.3,223.7,495.7,2.215,1.1,6.0e-03,1.0e+00,0.1502,28,173,190,308,618,366,503
GENE-18764,NO,91,61.7,29.3,0.475,-1.1,6.0e-03,1.0e+00,0.1515,28,54,49,82,23,32,33
GENE-973,NO,19.3,5,14.3,2.809,1.5,6.3e-03,1.0e+00,0.1572,29,6,6,3,10,16,17
GENE-10911,NO,1322,779,543,0.697,-0.5,6.5e-03,1.0e+00,0.1602,30,733,819,785,540,578,511
GENE-7964,YES,168.7,110.7,58,0.524,-0.9,6.5e-03,1.0e+00,0.1613,30,92,113,127,43,74,57
GENE-19880,YES,94.3,71.3,23,0.323,-1.6,6.6e-03,1.0e+00,0.1621,31,57,98,59,23,11,35
GENE-3790,YES,38.7,27.3,11.3,0.416,-1.3,6.6e-03,1.0e+00,0.1621,31,33,19,30,11,15,8
GENE-13401,YES,781,318,463,1.456,0.5,6.7e-03,1.0e+00,0.1621,31,300,347,307,439,470,480
GENE-9987,NO,168.3,62,106.3,1.716,0.8,6.8e-03,1.0e+00,0.1649,32,76,61,49,100,100,119
GENE-334,NO,156.7,32,124.7,3.869,2,7.2e-03,1.0e+00,0.1734,34,24,13,59,87,125,162
GENE-13638,NO,589.3,352.7,236.7,0.671,-0.6,7.5e-03,1.0e+00,0.1786,35,370,347,341,269,230,211
GENE-5695,YES,15.3,13,2.3,0.186,-2.4,7.6e-03,1.0e+00,0.1808,35,11,14,14,2,5,0
GENE-18829,YES,983.3,608.7,374.7,0.616,-0.7,7.7e-03,1.0e+00,0.1818,36,584,538,704,448,347,329
GENE-12816,NO,276,105.7,170.3,1.611,0.7,7.7e-03,1.0e+00,0.1818,36,122,96,99,196,143,172
GENE-12790,YES,177.3,138,39.3,0.285,-1.8,8.0e-03,1.0e+00,0.1872,37,113,95,206,16,59,43
GENE-5681,NO,32.3,9.7,22.7,2.317,1.2,8.2e-03,1.0e+00,0.1903,38,9,6,14,26,21,21
GENE-3462,YES,707.3,438,269.3,0.615,-0.7,8.4e-03,1.0e+00,0.1948,39,503,445,366,315,263,230
GENE-13397,NO,20255.7,6880,13375.7,1.944,1,8.6e-03,1.0e+00,0.1977,40,7206,8821,4613,11356,16377,12394
GENE-3471,NO,1813.7,703.7,1110,1.577,0.7,8.7e-03,1.0e+00,0.1997,41,779,630,702,883,1225,1222
GENE-6341,NO,114,38,76,1.986,1,8.8e-03,1.0e+00,0.2001,41,32,54,28,74,72,82
GENE-18062,YES,145.3,50.3,95,1.888,0.9,8.8e-03,1.0e+00,0.2001,41,39,65,47,79,89,117
GENE-17861,NO,142.3,86,56.3,0.655,-0.6,9.0e-03,1.0e+00,0.2047,42,80,83,95,63,55,51
GENE-17299,YES,62.7,40,22.7,0.565,-0.8,9.1e-03,1.0e+00,0.2063,43,34,39,47,19,26,23
GENE-17546,NO,59.7,51,8.7,0.172,-2.5,9.4e-03,1.0e+00,0.21,44,19,99,35,13,4,9
GENE-752,NO,237.3,85.3,152,1.78,0.8,9.5e-03,1.0e+00,0.2132,45,104,93,59,163,135,158
GENE-18665,YES,399.7,281,118.7,0.423,-1.2,9.7e-03,1.0e+00,0.2159,45,258,330,255,62,168,126
GENE-2250,NO,1301.3,518,783.3,1.512,0.6,9.8e-03,1.0e+00,0.2161,46,460,529,565,841,656,853
GENE-13576,NO,498.3,143.7,354.7,2.464,1.3,1.0e-02,1.0e+00,0.2234,47,160,196,75,266,347,451
GENE-11743,NO,555.7,358,197.7,0.553,-0.9,1.0e-02,1.0e+00,0.2257,48,409,380,285,175,260,158
GENE-12198,NO,403,158.3,244.7,1.546,0.6,1.0e-02,1.0e+00,0.2278,49,178,128,169,270,239,225
GENE-2410,YES,267,158.3,108.7,0.684,-0.5,1.1e-02,1.0e+00,0.2328,50,174,161,140,100,119,107
GENE-7908,YES,8681,5322.3,3358.7,0.631,-0.7,1.1e-02,1.0e+00,0.2344,51,5191,5849,4927,2766,4270,3040
GENE-1294,NO,5572.3,2381,3191.3,1.34,0.4,1.1e-02,1.0e+00,0.2451,53,2225,2550,2368,3045,3339,3190
GENE-16262,NO,417,245.3,171.7,0.701,-0.5,1.2e-02,1.0e+00,0.2498,54,261,254,221,157,175,183
GENE-9722,NO,889.7,135.7,754,5.554,2.5,1.2e-02,1.0e+00,0.2573,56,233,72,102,271,1517,474
GENE-11299,YES,1158,454.3,703.7,1.549,0.6,1.3e-02,1.0e+00,0.2658,58,472,376,515,725,590,796
GENE-12941,NO,139,91,48,0.527,-0.9,1.3e-02,1.0e+00,0.2727,60,63,118,92,44,59,41
