name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-11604,YES,0,222,188,92,128,211,95
GENE-11832,YES,0,123,123,116,25,25,34
GENE-11910,YES,0,64,29,81,326,158,156
GENE-11996,YES,0,12,16,18,52,53,60
GENE-12171,YES,0,26,26,27,90,62,62
GENE-12238,YES,0,65,61,55,61,55,62
GENE-12250,YES,0,3,10,4,34,19,21
GENE-12395,YES,0,34,39,34,52,42,40
GENE-12502,YES,0,329,291,215,531,365,364
GENE-12517,YES,0,29,49,39,45,29,32
GENE-12518,YES,0,33,25,52,53,79,44
GENE-12550,YES,0,196,138,140,1790,2615,1653
GENE-12696,YES,0,46,32,53,9,9,9
GENE-12735,YES,0,152,118,185,15,25,14
GENE-12774,YES,0,93,120,120,17,24,19
GENE-12790,YES,0,114,94,205,16,59,43
GENE-13010,YES,0,246,260,143,233,179,117
GENE-13039,YES,0,7,9,10,12,12,12
GENE-13123,YES,0,38,37,31,1482,1732,1513
GENE-13176,YES,0,58,72,62,31,35,31
GENE-13220,YES,0,7,9,2,26,22,16
GENE-13388,YES,0,60,108,77,4,3,2
GENE-13401,YES,0,301,344,306,441,472,479
GENE-13498,YES,0,105,49,52,49,36,85
GENE-13605,YES,0,0,1,0,49,88,60
GENE-13745,YES,0,26,17,24,10,18,12
GENE-13769,YES,0,39,39,26,51,53,38
GENE-13858,YES,0,71,30,7,0,143,116
GENE-13999,YES,0,151,125,123,120,172,148
GENE-14219,YES,0,243,222,297,961,833,856
GENE-14567,YES,0,43,50,40,79,78,64
GENE-14624,YES,0,353,752,1181,694,584,660
GENE-14668,YES,0,295,288,359,28,22,30
GENE-14689,YES,0,3,9,9,125,143,157
GENE-14740,YES,0,13,17,11,94,54,78
GENE-14774,YES,0,2015,1480,2090,965,754,851
GENE-14820,YES,0,62,78,79,30,32,63
GENE-15019,YES,0,10,18,18,1,13,5
GENE-15084,YES,0,36,29,26,60,58,71
GENE-15185,YES,0,961,1212,1268,180,185,160
GENE-15227,YES,0,62,43,61,89,114,39
GENE-15262,YES,0,203,206,217,73,88,97
GENE-15339,YES,0,10,7,11,8,23,7
GENE-15435,YES,0,26,35,53,48,87,54
GENE-15463,YES,0,571,251,293,1877,2102,1609
GENE-15580,YES,0,19,141,66,200,22,54
GENE-16001,YES,0,28,14,37,525,173,71
GENE-16013,YES,0,30,29,35,72,73,86
GENE-16070,YES,0,32,17,19,58,68,26
GENE-16120,YES,0,27,25,30,67,91,74
GENE-16161,YES,0,104,141,154,719,367,800
GENE-16306,YES,0,4,3,7,78,78,71
GENE-16411,YES,0,343,291,248,454,360,226
GENE-16413,YES,0,228,210,392,52,119,86
GENE-16515,YES,0,245,254,285,162,119,167
GENE-16527,YES,0,27,53,34,61,26,72
GENE-16557,YES,0,4,9,11,36,41,38
GENE-16560,YES,0,60,81,45,150,202,140
GENE-16663,YES,0,42,40,51,60,47,55
GENE-16711,YES,0,329,298,344,1367,1431,1696
GENE-16909,YES,0,238,296,298,127,101,116
GENE-16914,YES,0,119,85,117,242,261,270
GENE-16969,YES,0,1,0,1,7,32,20
GENE-17107,YES,0,365,463,467,23,21,20
GENE-17138,YES,0,79,90,42,64,66,50
GENE-17266,YES,0,29,28,24,50,34,24
GENE-17299,YES,0,34,39,47,19,26,23
GENE-17322,YES,0,11,11,15,19,12,10
GENE-17455,YES,0,32,23,37,15,10,12
GENE-17555,YES,0,6,2,14,18,22,19
GENE-17647,YES,0,425,669,681,302,251,239
GENE-17694,YES,0,68,29,51,9,9,8
GENE-17763,YES,0,20,23,14,25,17,17
GENE-17851,YES,0,2,1,0,67,65,12
GENE-17951,YES,0,6608,6762,5483,2082,1399,1227
GENE-18043,YES,0,209,137,177,206,282,46
GENE-18062,YES,0,39,64,47,79,89,117
GENE-18186,YES,0,471,413,540,556,546,657
GENE-18372,YES,0,314,257,241,86,65,92
GENE-18391,YES,0,6,7,7,75,68,87
GENE-18432,YES,0,324,289,201,100,121,112
GENE-18436,YES,0,85,44,47,79,59,41
GENE-18451,YES,0,170,174,118,124,112,121
GENE-18484,YES,0,13,15,14,19,18,9
GENE-18560,YES,0,174,207,201,41,51,33
GENE-18640,YES,0,1998,3018,2256,295,439,517
GENE-18665,YES,0,259,327,254,62,169,126
GENE-18816,YES,0,1284,779,814,585,574,642
GENE-18829,YES,0,587,533,702,450,348,329
GENE-19037,YES,0,129,107,113,26,19,17
GENE-19047,YES,0,88,73,139,175,138,192
GENE-19056,YES,0,1088,1243,945,462,676,551
GENE-19185,YES,0,174,188,307,621,367,502
GENE-19312,YES,0,1306,1431,1452,2900,3449,1992
GENE-19567,YES,0,1269,1019,1553,358,746,764
GENE-19568,YES,0,24,30,31,108,106,62
GENE-19813,YES,0,88,56,102,13,9,13
GENE-19839,YES,0,567,442,594,252,262,274
GENE-19850,YES,0,58,50,51,156,124,113
GENE-19880,YES,0,57,97,59,23,11,35
GENE-19894,YES,0,141,57,62,138,89,88
GENE-19918,YES,0,48,31,44,1209,1092,1128
GENE-19933,YES,0,1008,1012,884,1065,1002,1431
GENE-19958,YES,0,58,50,66,4,10,12
GENE-1,NO,1,0,0,0,0,0,0
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0
GENE-4,NO,1,0,2,0,0,0,0
GENE-5,NO,1,238,185,210,239,233,197
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,YES,1,0,0,0,0,0,0
GENE-8,NO,1,18,12,68,41,70,46
GENE-9,NO,1,2,5,5,6,10,2
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,YES,1,0,1,0,0,0,0
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,0,0,0,0,0,0
GENE-14,NO,1,0,0,0,0,0,0
GENE-15,NO,1,111,109,125,99,134,120
GENE-16,NO,1,1,2,1,1,0,5
GENE-17,NO,1,136,133,155,138,171,151
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,1,1,0,0,0,1
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,NO,1,0,0,0,0,0,0
GENE-22,NO,1,0,0,0,0,0,0
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,0,0,0,0,0,0
GENE-25,NO,1,1336,1774,1676,1658,1622,1588
GENE-26,NO,1,726,687,691,688,687,652
GENE-27,NO,1,0,0,0,0,0,0
GENE-28,NO,1,0,0,0,0,0,0
GENE-29,NO,1,2427,2553,2082,2387,2806,2084
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,0,0,0,0,0,0
GENE-33,NO,1,0,1,0,0,2,2
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,0,0,0,0,0,0
GENE-36,NO,1,0,0,0,0,0,0
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,YES,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,0,0,0,0,0,0
GENE-46,NO,1,1,0,0,0,0,1
GENE-47,NO,1,0,0,0,0,0,0
GENE-48,NO,1,1571,1578,1537,1493,1594,1400
GENE-49,NO,1,0,0,0,0,0,0
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,NO,1,0,0,0,0,0,0
GENE-52,YES,1,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,63,114,80,53,113,141
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,241,3702,778,1296,3067,2373
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,0,0,0,0,0,0
GENE-60,NO,1,0,0,0,0,0,0
GENE-61,NO,1,1873,2274,1735,2336,1137,2124
GENE-62,YES,1,0,0,0,0,0,0
GENE-63,NO,1,868,2503,585,401,1215,1453
GENE-64,NO,1,0,1,0,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,4,0,0,1,4,1
GENE-69,NO,1,3,1,2,2,3,3
GENE-70,NO,1,0,0,0,0,0,0
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,0,0,0,0,0,0
GENE-76,NO,1,0,5,4,3,6,3
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,0,0,0,0,0,0
GENE-82,NO,1,0,0,0,0,0,0
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,1,0,1,1,0,3
GENE-86,NO,1,521,380,124,63,19,174
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,NO,1,188,158,164,174,149,180
GENE-89,NO,1,121,133,92,111,124,111
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,0,0,0,0,0,0
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,0,0,0,0,0,0
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,0,0,0,0,0,0
GENE-99,YES,1,0,0,0,0,0,0
GENE-100,NO,1,1,2,3,3,1,2
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,6,2,9,1,7,3
GENE-104,NO,1,9,7,4,4,5,3
GENE-105,YES,1,0,0,0,0,0,0
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,0,0,0,0,0,0
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,5,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,NO,1,0,0,0,0,0,0
GENE-117,NO,1,0,0,0,0,0,0
GENE-118,NO,1,158,160,114,133,136,120
GENE-119,NO,1,171,146,208,198,226,159
GENE-120,NO,1,1687,905,1023,1499,1116,1167
GENE-121,NO,1,27,28,34,31,29,35
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,10,10,13,7,7,12
GENE-125,NO,1,113,115,107,146,142,117
GENE-126,NO,1,0,0,0,0,0,0
GENE-127,NO,1,0,0,0,0,0,0
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,NO,1,41,28,41,28,78,37
GENE-130,NO,1,0,0,0,0,0,0
GENE-131,NO,1,1,3,2,2,0,2
GENE-132,NO,1,1,0,0,0,0,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,0,0,0,0,0,0
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,1,2,3,0,1,3
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,0,0,0,0,0,0
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,0,0,0,0,0,0
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,0,0,0,0,0,0
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,1162,1059,855,1181,1295,1210
GENE-151,NO,1,88,77,82,99,94,100
GENE-152,NO,1,0,0,0,0,0,0
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,0,0,0,0,0,0
GENE-155,YES,1,0,0,0,0,0,0
GENE-156,NO,1,0,0,0,0,0,0
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,0,2,1,0,0,1
GENE-159,NO,1,198,178,195,249,175,219
GENE-160,NO,1,0,0,0,0,0,0
GENE-162,NO,1,1173,1255,989,1043,1200,1226
GENE-163,NO,1,0,0,0,0,0,0
GENE-165,NO,1,0,0,0,0,0,0
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,41,48,41,27,19,30
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,210,206,201,191,159,233
GENE-174,NO,1,60,36,30,50,39,32
GENE-176,NO,1,0,0,0,0,0,0
GENE-177,YES,1,0,0,0,0,0,0
GENE-178,YES,1,0,0,0,0,0,0
GENE-179,NO,1,1231,1598,1211,1237,1809,1946
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,0,0,0,0,0,0
GENE-182,YES,1,0,0,0,0,0,0
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,4,1,7,4,3,1
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,11,7,7,11,5,9
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,5,11,6,3,7,4
GENE-190,YES,1,0,0,0,0,0,0
GENE-191,NO,1,90,148,129,112,131,125
GENE-192,NO,1,166,108,199,145,162,148
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,10,8,15,15,17,10
GENE-196,NO,1,0,0,0,0,0,0
GENE-197,NO,1,0,2,1,1,2,0
GENE-198,NO,1,0,0,0,0,0,0
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,0,0,0,0,0,0
GENE-201,NO,1,0,0,0,0,0,0
GENE-202,NO,1,17,13,20,13,15,22
GENE-203,NO,1,0,0,0,0,0,0
GENE-204,YES,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,103,101,95,76,107,137
GENE-208,NO,1,0,1,1,0,1,1
GENE-209,NO,1,0,0,0,0,0,0
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,59,88,90,64,97,88
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,3,1,13,11,11,14
GENE-216,NO,1,0,0,0,0,0,0
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,29,91,37,48,69,54
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,NO,1,2987,1834,2286,2925,2533,2188
GENE-221,NO,1,0,0,0,0,0,0
GENE-222,NO,1,0,0,0,0,0,0
GENE-223,NO,1,2,3,4,9,8,7
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,0,0,0,0,0,0
GENE-227,NO,1,8,12,10,7,2,9
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,3,4,9,5,8,2
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,0,0,0,0,0,0
GENE-233,NO,1,40,20,24,49,25,21
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,0,0,0,0,0,0
GENE-236,NO,1,635,734,696,660,619,616
GENE-237,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,9,5,2,2,4,6
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,0,0,0,0,0,0
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,586,853,496,928,649,688
GENE-245,NO,1,578,741,675,789,524,649
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,44,38,36,50,64,38
GENE-249,NO,1,3200,4147,5222,3694,3253,5528
GENE-250,NO,1,84,65,80,55,93,78
GENE-251,NO,1,0,0,0,0,0,0
GENE-252,NO,1,693,643,564,607,628,580
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,18,8,15,13,13,14
GENE-257,NO,1,3581,1283,1525,101,1412,1112
GENE-258,NO,1,4,5,2,2,6,5
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,214,337,259,278,208,163
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,0,0,0,0,0,0
GENE-264,NO,1,147,259,121,209,192,86
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,0,0,0,0,0,0
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,0,0,0,0,0,0
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,0,0,0,0,0,0
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,NO,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,109,98,91,71,88,72
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,0,0,0,0,0,0
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,573,514,487,499,448,567
GENE-284,NO,1,0,0,1,1,1,0
GENE-285,NO,1,4,6,4,2,5,4
GENE-286,NO,1,0,0,0,0,0,0
GENE-287,NO,1,366,348,344,326,318,373
GENE-288,YES,1,0,0,0,0,0,0
GENE-289,NO,1,0,0,0,0,0,0
GENE-290,NO,1,87,146,123,180,108,95
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,0,2,1,2,2,1
GENE-293,NO,1,108,115,58,137,45,56
GENE-294,NO,1,0,0,0,0,0,0
GENE-295,NO,1,0,0,0,0,0,0
GENE-296,NO,1,0,0,0,0,0,0
GENE-297,NO,1,3,0,1,2,1,4
GENE-298,NO,1,0,0,0,0,0,0
GENE-299,NO,1,23,23,19,22,24,21
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,5,11,7,7,9,6
GENE-304,YES,1,0,0,0,0,0,0
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,0,0,0,0,0,0
GENE-307,NO,1,0,0,0,0,0,0
GENE-308,NO,1,0,0,0,0,0,0
GENE-309,NO,1,170,172,88,166,107,121
GENE-310,NO,1,0,0,0,0,0,0
GENE-311,NO,1,0,0,0,0,0,0
GENE-312,NO,1,0,0,0,0,0,0
GENE-313,NO,1,0,0,0,0,0,0
GENE-314,NO,1,110,125,91,80,132,150
GENE-315,NO,1,0,0,0,0,0,0
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,244,233,239,214,235,201
GENE-318,NO,1,0,0,0,0,0,0
GENE-319,NO,1,0,0,0,0,0,0
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,0,0,0,0,0,0
GENE-324,NO,1,0,0,0,0,0,0
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,0,0,0,0,0,0
GENE-327,NO,1,2,1,3,2,2,1
GENE-328,NO,1,0,0,0,0,0,0
GENE-329,NO,1,1,0,0,0,0,0
GENE-330,NO,1,0,0,0,0,0,0
GENE-331,NO,1,0,0,0,0,0,0
GENE-332,NO,1,0,0,0,0,0,0
