run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR24181969,SAMN34203412,GSM7177952,"Chd1-degron live cells, 300 min auxin, 60 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,718017340;716811454,2668886300,26688863,GSM7177952,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/069/SRR24181969/SRR24181969_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/069/SRR24181969/SRR24181969_2.fastq.gz']","718 MB, 717 MB files; 26.7 million reads; 2668.9 million sequenced bases"
SRR24181972,SAMN34203415,GSM7177949,"Chd1-degron live cells, 180 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,538343838;537620702,2346242700,23462427,GSM7177949,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/072/SRR24181972/SRR24181972_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/072/SRR24181972/SRR24181972_2.fastq.gz']","538 MB, 538 MB files; 23.5 million reads; 2346.2 million sequenced bases"
SRR24181974,SAMN34203417,GSM7177947,"Isw1-degron live cells, 480 min auxin, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,563140469;561781901,2478291100,24782911,GSM7177947,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/074/SRR24181974/SRR24181974_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/074/SRR24181974/SRR24181974_2.fastq.gz']","563 MB, 562 MB files; 24.8 million reads; 2478.3 million sequenced bases"
SRR24181976,SAMN34203419,GSM7177945,"Isw1-degron live cells, 360 min auxin, 120 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,386470675;385748341,1693004300,16930043,GSM7177945,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/076/SRR24181976/SRR24181976_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/076/SRR24181976/SRR24181976_2.fastq.gz']","386 MB, 386 MB files; 16.9 million reads; 1693.0 million sequenced bases"
SRR24181978,SAMN34203421,GSM7177943,"Isw1-degron live cells, 270 min auxin, 30 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,565397522;564412643,2458731500,24587315,GSM7177943,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/078/SRR24181978/SRR24181978_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/078/SRR24181978/SRR24181978_2.fastq.gz']","565 MB, 564 MB files; 24.6 million reads; 2458.7 million sequenced bases"
SRR24181979,SAMN34203422,GSM7177942,"Isw1-degron live cells, 240 min auxin, 0 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,341341411;340810466,1488256700,14882567,GSM7177942,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/079/SRR24181979/SRR24181979_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/079/SRR24181979/SRR24181979_2.fastq.gz']","341 MB, 341 MB files; 14.9 million reads; 1488.3 million sequenced bases"
SRR24181981,SAMN34203424,GSM7177940,"Isw1-degron live cells, 0 min auxin, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,316389355;315849440,1390691100,13906911,GSM7177940,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/081/SRR24181981/SRR24181981_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/081/SRR24181981/SRR24181981_2.fastq.gz']","316 MB, 316 MB files; 13.9 million reads; 1390.7 million sequenced bases"
SRR24181984,SAMN34203427,GSM7177937,"Isw1-degron live cells, 360 min auxin, 120 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,607895078;606766038,2679829500,26798295,GSM7177937,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/084/SRR24181984/SRR24181984_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/084/SRR24181984/SRR24181984_2.fastq.gz']","608 MB, 607 MB files; 26.8 million reads; 2679.8 million sequenced bases"
SRR24181990,SAMN34203433,GSM7177931,"Rsc8-degron live cells, 480 min auxin, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,294253402;293754648,1277970500,12779705,GSM7177931,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/090/SRR24181990/SRR24181990_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/090/SRR24181990/SRR24181990_2.fastq.gz']","294 MB, 294 MB files; 12.8 million reads; 1278.0 million sequenced bases"
SRR24181998,SAMN34203441,GSM7177923,"Rsc8-degron live cells, 480 min auxin, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,285180037;284427761,1060657200,10606572,GSM7177923,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/098/SRR24181998/SRR24181998_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/098/SRR24181998/SRR24181998_2.fastq.gz']","285 MB, 284 MB files; 10.6 million reads; 1060.7 million sequenced bases"
SRR24181999,SAMN34203442,GSM7177922,"Rsc8-degron live cells, 420 min auxin, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,192949396;192666694,849283200,8492832,GSM7177922,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/099/SRR24181999/SRR24181999_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/099/SRR24181999/SRR24181999_2.fastq.gz']","193 MB, 193 MB files; 8.5 million reads; 849.3 million sequenced bases"
SRR24182005,SAMN34203448,GSM7177916,"Rsc8-degron live cells, 0 min auxin, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,188668563;188390357,823137500,8231375,GSM7177916,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/005/SRR24182005/SRR24182005_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/005/SRR24182005/SRR24182005_2.fastq.gz']","189 MB, 188 MB files; 8.2 million reads; 823.1 million sequenced bases"
SRR24182006,SAMN34203449,GSM7177915,"wild type live cells, 480 min auxin, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,277417499;276881308,1210990100,12109901,GSM7177915,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/006/SRR24182006/SRR24182006_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/006/SRR24182006/SRR24182006_2.fastq.gz']","277 MB, 277 MB files; 12.1 million reads; 1211.0 million sequenced bases"
SRR24182007,SAMN34203450,GSM7177914,"wild type live cells, 420 min auxin, 180 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,134035876;133752969,585312400,5853124,GSM7177914,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/007/SRR24182007/SRR24182007_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/007/SRR24182007/SRR24182007_2.fastq.gz']","134 MB, 134 MB files; 5.9 million reads; 585.3 million sequenced bases"
SRR24182011,SAMN34203477,GSM7177887,"arrested wild type live cells, 240 min alpha-factor, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,901688616;900267587,3948757600,39487576,GSM7177887,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/011/SRR24182011/SRR24182011_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/011/SRR24182011/SRR24182011_2.fastq.gz']","902 MB, 900 MB files; 39.5 million reads; 3948.8 million sequenced bases"
SRR24182012,SAMN34203460,GSM7177904,"wild type live cells, 300 min auxin, 60 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,278771919;278369989,1213955500,12139555,GSM7177904,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/012/SRR24182012/SRR24182012_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/012/SRR24182012/SRR24182012_2.fastq.gz']","279 MB, 278 MB files; 12.1 million reads; 1214.0 million sequenced bases"
SRR24182020,SAMN34203482,GSM7177882,"arrested wild type live cells, 300 min alpha-factor, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,218719212;218484113,963487800,9634878,GSM7177882,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/020/SRR24182020/SRR24182020_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/020/SRR24182020/SRR24182020_2.fastq.gz']","219 MB, 218 MB files; 9.6 million reads; 963.5 million sequenced bases"
SRR24182024,SAMN34203485,GSM7177879,"arrested wild type live cells, 180 min alpha-factor, 0 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,210359805;210142096,917022500,9170225,GSM7177879,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/024/SRR24182024/SRR24182024_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/024/SRR24182024/SRR24182024_2.fastq.gz']","210 MB, 210 MB files; 9.2 million reads; 917.0 million sequenced bases"
SRR24182026,SAMN34203486,GSM7177878,"arrested wild type live cells, 0 min alpha-factor, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,161585334;161428560,704111500,7041115,GSM7177878,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/026/SRR24182026/SRR24182026_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/026/SRR24182026/SRR24182026_2.fastq.gz']","162 MB, 161 MB files; 7.0 million reads; 704.1 million sequenced bases"
SRR24182032,SAMN34203492,GSM7177872,"wild type live cells, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,371590855;370793556,1656394600,16563946,GSM7177872,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/032/SRR24182032/SRR24182032_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/032/SRR24182032/SRR24182032_2.fastq.gz']","372 MB, 371 MB files; 16.6 million reads; 1656.4 million sequenced bases"
SRR24182037,SAMN34203458,GSM7177906,"wild type live cells, 420 min auxin, 180 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,254940305;254359093,1119303800,11193038,GSM7177906,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/037/SRR24182037/SRR24182037_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/037/SRR24182037/SRR24182037_2.fastq.gz']","255 MB, 254 MB files; 11.2 million reads; 1119.3 million sequenced bases"
SRR24182045,SAMN34203470,GSM7177894,"wild type live cells, Dam-GFP, 240 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,674455269;673985624,2975204900,29752049,GSM7177894,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/045/SRR24182045/SRR24182045_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/045/SRR24182045/SRR24182045_2.fastq.gz']","674 MB, 674 MB files; 29.8 million reads; 2975.2 million sequenced bases"
SRR24182046,SAMN34203471,GSM7177893,"wild type live cells, Dam-GFP, 120 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,619977121;619645810,2711437600,27114376,GSM7177893,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/046/SRR24182046/SRR24182046_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/046/SRR24182046/SRR24182046_2.fastq.gz']","620 MB, 620 MB files; 27.1 million reads; 2711.4 million sequenced bases"
SRR24182049,SAMN34203475,GSM7177889,"arrested wild type live cells, 420 min alpha-factor, 240 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,921226640;918764796,3473734500,34737345,GSM7177889,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/049/SRR24182049/SRR24182049_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/049/SRR24182049/SRR24182049_2.fastq.gz']","921 MB, 919 MB files; 34.7 million reads; 3473.7 million sequenced bases"
SRR24182052,SAMN34203495,GSM7177869,"wild type live cells, 30 min SM, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,223629541;223196213,980734500,9807345,GSM7177869,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/052/SRR24182052/SRR24182052_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/052/SRR24182052/SRR24182052_2.fastq.gz']","224 MB, 223 MB files; 9.8 million reads; 980.7 million sequenced bases"
SRR24182054,SAMN34203375,GSM7177989,"wild type nuclei, 1.25 nM Dam, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,505867126;506017610,2201473400,22014734,GSM7177989,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/054/SRR24182054/SRR24182054_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/054/SRR24182054/SRR24182054_2.fastq.gz']","506 MB, 506 MB files; 22.0 million reads; 2201.5 million sequenced bases"
SRR24181934,SAMN34203377,GSM7177987,"wild type nuclei, 0.31 nM Dam, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,301415288;301572117,1312208300,13122083,GSM7177987,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/034/SRR24181934/SRR24181934_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/034/SRR24181934/SRR24181934_2.fastq.gz']","301 MB, 302 MB files; 13.1 million reads; 1312.2 million sequenced bases"
SRR24181935,SAMN34203378,GSM7177986,"wild type nuclei, 0.16 nM Dam, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,476418170;476265074,2069338300,20693383,GSM7177986,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/035/SRR24181935/SRR24181935_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/035/SRR24181935/SRR24181935_2.fastq.gz']","476 MB, 476 MB files; 20.7 million reads; 2069.3 million sequenced bases"
SRR24181936,SAMN34203379,GSM7177985,"wild type nuclei, No Dam, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,401789731;401803770,1738745100,17387451,GSM7177985,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/036/SRR24181936/SRR24181936_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/036/SRR24181936/SRR24181936_2.fastq.gz']","402 MB, 402 MB files; 17.4 million reads; 1738.7 million sequenced bases"
SRR24181937,SAMN34203380,GSM7177984,"wild type nuclei, 1.25 nM Dam, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,472260914;471930231,2049333000,20493330,GSM7177984,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/037/SRR24181937/SRR24181937_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/037/SRR24181937/SRR24181937_2.fastq.gz']","472 MB, 472 MB files; 20.5 million reads; 2049.3 million sequenced bases"
SRR24181938,SAMN34203381,GSM7177983,"wild type nuclei, 0.63 nM Dam, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,482835474;482518781,2096642300,20966423,GSM7177983,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/038/SRR24181938/SRR24181938_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/038/SRR24181938/SRR24181938_2.fastq.gz']","483 MB, 483 MB files; 21.0 million reads; 2096.6 million sequenced bases"
SRR24181933,SAMN34203376,GSM7177988,"wild type nuclei, 0.63 nM Dam, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,403575823;403681411,1758425900,17584259,GSM7177988,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/033/SRR24181933/SRR24181933_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/033/SRR24181933/SRR24181933_2.fastq.gz']","404 MB, 404 MB files; 17.6 million reads; 1758.4 million sequenced bases"
SRR24181944,SAMN34203388,GSM7177976,"Isw1/Chd1-degron live cells, 300 min auxin, 60 min SM, rep 2",2024-03-23,missing,Saccharomyces cerevisiae,601386853;600313954,2622795200,26227952,GSM7177976,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/044/SRR24181944/SRR24181944_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/044/SRR24181944/SRR24181944_2.fastq.gz']","601 MB, 600 MB files; 26.2 million reads; 2622.8 million sequenced bases"
SRR24181946,SAMN34203384,GSM7177980,"wild type nuclei, No Dam, rep 1",2024-03-23,missing,Saccharomyces cerevisiae,419112001;419180564,1811875200,18118752,GSM7177980,OTHER,GENOMIC,PAIRED,ILLUMINA,NextSeq 500,The yeast genome is globally accessible in living cells [Illumina],"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/046/SRR24181946/SRR24181946_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR241/046/SRR24181946/SRR24181946_2.fastq.gz']","419 MB, 419 MB files; 18.1 million reads; 1811.9 million sequenced bases"
